zipcode,snow,rain,fitted_distance
11206,0,0,2.818852777
11206,0,0,2.818852777
11421,0,0,2.659637768
11421,0,0,2.659637768
11385,0,0,3.743156093
11206,1,0,2.80307231
11237,1,0,2.8868101
11237,0,1,2.944039494
11206,0,0,2.818852777
11418,1,0,6.348776433
11435,0,0,3.501528868
11237,0,1,2.944039494
11435,0,1,3.542977794
11237,0,0,2.902590567
11435,0,0,3.501528868
11435,1,0,3.485748401
11435,0,0,3.501528868
11418,0,0,6.3645569
11435,0,0,3.501528868
11435,0,1,3.542977794
11433,0,0,2.959275537
11412,0,0,0.7
10038,0,0,7.745
10038,0,0,7.745
11418,0,0,6.3645569
11415,0,0,2.947467233
11211,0,0,3.02306616
11385,1,0,3.727375626
11432,0,0,2.310842667
11423,0,0,5.263813769
11211,0,1,3.064515086
11211,1,0,3.007285693
11211,0,0,3.02306616
11415,0,1,2.988916159
11415,0,1,2.988916159
11423,0,1,5.305262695
11211,0,0,3.02306616
11415,0,0,2.947467233
11415,1,0,2.931686766
11432,1,0,2.2950622
11211,1,0,3.007285693
11375,0,0,2.641905267
11374,0,0,2.836917033
11429,0,0,0.01
11374,0,0,2.836917033
11378,0,1,2.584869356
11378,0,0,2.543420429
11423,1,0,5.248033302
11415,1,0,2.931686766
11211,0,0,3.02306616
11378,0,0,2.543420429
11374,0,1,2.878365959
11222,0,0,2.896242092
11222,0,1,2.937691018
11375,0,1,2.683354193
11367,0,0,3.665721923
11432,0,1,2.352291594
11375,0,1,2.683354193
11222,1,0,2.880461625
11375,1,0,2.6261248
11375,0,0,2.641905267
11374,1,0,2.821136566
11375,1,0,2.6261248
11222,0,1,2.937691018
11222,0,0,2.896242092
11379,0,0,0.82
11374,0,1,2.878365959
11373,0,0,2.712004111
11374,1,0,2.821136566
11367,1,0,3.649941456
11367,0,1,3.70717085
11373,0,0,2.712004111
11373,1,0,2.696223644
11373,0,1,2.753453037
11377,0,0,2.496755257
11373,1,0,2.696223644
11514,0,1,12.0786147
11373,0,1,2.753453037
11365,0,0,1.2
11368,0,0,2.770240804
11101,0,0,3.398539838
11427,0,0,3.43
11368,0,1,2.811689731
11368,1,0,2.754460337
11377,1,0,2.48097479
11104,0,0,2.753568988
11104,0,1,2.795017914
11377,1,0,2.48097479
11377,0,1,2.538204184
11514,1,0,12.0213853
11364,0,1,1.6
11101,0,0,3.398539838
11368,1,0,2.754460337
11372,0,1,2.282911157
11101,0,1,3.439988764
11101,1,0,3.382759371
11372,1,0,2.225681764
11104,1,0,2.737788521
11104,0,0,2.753568988
11372,0,0,2.241462231
10017,0,0,3.590747779
11104,0,1,2.795017914
11372,1,0,2.225681764
11372,0,1,2.282911157
10017,0,0,3.590747779
10017,0,1,3.632196705
11368,1,0,2.754460337
11101,0,0,3.398539838
11355,0,1,3.653586695
10017,1,0,3.574967312
11377,0,1,2.538204184
11377,0,0,2.496755257
10017,0,0,3.590747779
11355,0,0,3.612137768
11372,0,0,2.241462231
11372,0,1,2.282911157
11101,1,0,3.382759371
11101,1,0,3.382759371
11355,0,0,3.612137768
11368,0,1,2.811689731
11106,0,0,2.795681034
11103,0,1,2.632486731
11369,0,0,2.993737402
10044,0,0,2.613383105
11103,0,0,2.591037805
11103,1,0,2.575257338
11103,0,1,2.632486731
11369,1,0,2.977956935
11103,0,0,2.591037805
10044,1,0,2.597602638
11106,0,1,2.83712996
11370,0,0,1.67538603
11106,1,0,2.779900566
11370,1,0,1.659605563
10044,0,1,2.654832031
11368,0,0,2.770240804
10044,0,0,2.613383105
11369,0,1,3.035186328
11106,0,0,2.795681034
11106,0,1,2.83712996
11103,1,0,2.575257338
11369,0,1,3.035186328
11354,0,1,3.105992718
11354,0,0,3.064543791
11354,0,0,3.064543791
11354,0,1,3.105992718
10044,0,1,2.654832031
11354,1,0,3.048763324
11370,0,1,1.716834956
11369,0,0,2.993737402
11354,1,0,3.048763324
11361,0,1,-1.25E-14
11302,0,1,5.44
11103,0,0,2.591037805
11370,1,0,1.659605563
11103,0,0,2.591037805
11102,0,0,2.587608685
11102,1,0,2.571828218
11102,0,1,2.629057612
11102,0,0,2.587608685
11105,0,0,2.60466255
11105,0,1,2.646111477
11105,1,0,2.588882083
11102,1,0,2.571828218
11105,0,0,2.60466255
11105,0,1,2.646111477
11371,0,1,4.06
10128,0,1,2.702269589
10128,0,0,2.660820662
10128,1,0,2.645040195
10128,0,1,2.702269589
10128,0,0,2.660820662
10029,1,0,2.396767433
10029,0,1,2.453996826
10029,0,0,2.4125479
10029,0,0,2.4125479
10029,0,0,2.4125479
10128,1,0,2.645040195
10029,1,0,2.396767433
11356,1,0,2.1
10029,0,1,2.453996826
10035,0,0,2.321468325
10035,1,0,2.305687858
10035,0,1,2.362917251
10026,0,0,2.58922766
10026,0,0,2.58922766
10026,1,0,2.573447193
10026,0,1,2.630676586
10035,0,0,2.321468325
10454,1,0,1.850394594
10454,1,0,1.850394594
10026,0,1,2.630676586
10026,1,0,2.573447193
10026,0,0,2.58922766
10025,0,0,2.529882037
10025,1,0,2.51410157
10025,0,1,2.571330963
10025,0,0,2.529882037
10025,0,0,2.529882037
10115,0,0,3.444428075
10115,0,1,3.485877001
10115,1,0,3.428647608
